"Created Date",Title,Project,"Branch No","Story Points",Status
"28 Jun 2025",esf,"Digital Village",YTFU,1.25,"TO DO"
"28 Jun 2025",tfgkh,"Digital Village",gh,1.25,"IN PROGRESS"
"19 Jun 2025",kjnlkm,"Digital Village",bjlkm,1.50,COMPLETED
"19 Jun 2025",hbkjnkl,"Digital Village",bjlkm,2.50,"TO DO"
"18 Jun 2025","Scrum Meeting",Meeting,-,0.25,COMPLETED
"17 Jun 2025",VenueDeck,Development,-,5.00,"TO DO"
"16 Jun 2025","Client work",Development,-,2.00,"IN PROGRESS"
"16 Jun 2025","PMS Training",Meeting,-,0.50,COMPLETED
"16 Jun 2025","PMS Training",Meeting,-,0.50,COMPLETED
"17 Jun 2025","Talk to CA",Meeting,-,0.50,COMPLETED
"15 Jun 2025","5.Final Demo Packaging",Development,-,2.00,"TO DO"
"15 Jun 2025","4.Presentation Content Finalization",Development,-,1.50,"TO DO"
"15 Jun 2025","3.Final Demo App Testing",Development,-,2.00,"TO DO"
"15 Jun 2025","2.Team Progress Monitoring",Development,-,1.25,"TO DO"
"15 Jun 2025","1.Dataset Collection Supervision",Development,-,3.00,"TO DO"
"14 Jun 2025","Add notifcation on PMS",PMS,PM-4,1.00,COMPLETED
"14 Jun 2025","Company Brochure",Development,-,2.00,"TO DO"
"14 Jun 2025","Visit to CA",Meeting,-,3.00,COMPLETED
"14 Jun 2025","Meeting at morning",Meeting,-,0.25,COMPLETED
"13 Jun 2025","PMS training",PMS,-,0.25,COMPLETED
"13 Jun 2025","Add Project List",PMS,PM-3,1.00,COMPLETED
"14 Jun 2025","Redesign the LMS",LMS,LM-3,0.50,"TO DO"
"13 Jun 2025",Interview,Meeting,-,0.75,COMPLETED
"13 Jun 2025","Work on Timesheet in PMS",PMS,PM-2,1.00,COMPLETED
